gi,seq_names,species,genus,family,order,class,phylum,taxid,seqs,cluster,id
374325525,rRNA_gi|374325525|ref|NC_016645.1|_127216-130814_DIR+ /molecule=16s_rRNA /score=193.5,1104324,2276,2267,2266,183924,28889,1104324,rRNA_gi|374325525|ref|NC_016645.1|_127216-130814_DIR+,cluster_0.99_1,1
478693373,rRNA_gi|478693373|ref|NC_020993.1|_1105401-1108466_DIR+ /molecule=16s_rRNA /score=1645.7,782,780,775,766,28211,1224,1290428,rRNA_gi|478693373|ref|NC_020993.1|_1105401-1108466_DIR+,cluster_0.99_31,31
383500100,rRNA_gi|383500100|ref|NC_017057.1|_770986-774051_DIR- /molecule=16s_rRNA /score=1645.7,782,780,775,766,28211,1224,1105099,rRNA_gi|383500100|ref|NC_017057.1|_770986-774051_DIR-,cluster_0.99_31,31
383487432,rRNA_gi|383487432|ref|NC_017049.1|_768721-771786_DIR- /molecule=16s_rRNA /score=1645.7,782,780,775,766,28211,1224,1105094,rRNA_gi|383487432|ref|NC_017049.1|_768721-771786_DIR-,cluster_0.99_31,31
383489123,rRNA_gi|383489123|ref|NC_017051.1|_768736-771801_DIR- /molecule=16s_rRNA /score=1645.7,782,780,775,766,28211,1224,1105097,rRNA_gi|383489123|ref|NC_017051.1|_768736-771801_DIR-,cluster_0.99_31,31
383486602,rRNA_gi|383486602|ref|NC_017048.1|_835-3900_DIR- /molecule=16s_rRNA /score=1645.7,782,780,775,766,28211,1224,1105098,rRNA_gi|383486602|ref|NC_017048.1|_835-3900_DIR-,cluster_0.99_31,31
478692434,rRNA_gi|478692434|ref|NC_020992.1|_521813-524878_DIR+ /molecule=16s_rRNA /score=1645.7,782,780,775,766,28211,1224,1290427,rRNA_gi|478692434|ref|NC_020992.1|_521813-524878_DIR+,cluster_0.99_31,31
383499256,rRNA_gi|383499256|ref|NC_017056.1|_770599-773664_DIR- /molecule=16s_rRNA /score=1645.7,782,780,775,766,28211,1224,1105096,rRNA_gi|383499256|ref|NC_017056.1|_770599-773664_DIR-,cluster_0.99_31,31
297618528,rRNA_gi|297618528|ref|NC_014222.1|_1534654-1537718_DIR- /molecule=16s_rRNA /score=643.5,2188,2184,2183,2182,183939,28890,456320,rRNA_gi|297618528|ref|NC_014222.1|_1534654-1537718_DIR-,cluster_0.99_32,32
557604010,rRNA_gi|557604010|ref|NC_022777.1|_546799-549813_DIR+ /molecule=16s_rRNA /score=490.0,1513,1485,31979,186802,186801,1239,1231072,rRNA_gi|557604010|ref|NC_022777.1|_546799-549813_DIR+,cluster_0.99_33,33
386748726,rRNA_gi|386748726|ref|NC_017737.1|_346061-349072_DIR+ /molecule=16s_rRNA /score=1617.1,138563,209,72293,213849,29547,1224,182217,rRNA_gi|386748726|ref|NC_017737.1|_346061-349072_DIR+,cluster_0.99_34,34
386747036,rRNA_gi|386747036|ref|NC_017735.1|_153750-155240_DIR- /molecule=16s_rRNA /score=1848.6,138563,209,72293,213849,29547,1224,1163745,rRNA_gi|386747036|ref|NC_017735.1|_153750-155240_DIR-,cluster_0.99_34,34
386747036,rRNA_gi|386747036|ref|NC_017735.1|_1678318-1679808_DIR+ /molecule=16s_rRNA /score=1848.6,138563,209,72293,213849,29547,1224,1163745,rRNA_gi|386747036|ref|NC_017735.1|_1678318-1679808_DIR+,cluster_0.99_34,34
386748726,rRNA_gi|386748726|ref|NC_017737.1|_1834544-1837546_DIR- /molecule=16s_rRNA /score=1619.8,138563,209,72293,213849,29547,1224,182217,rRNA_gi|386748726|ref|NC_017737.1|_1834544-1837546_DIR-,cluster_0.99_34,34
288559258,rRNA_gi|288559258|ref|NC_013790.1|_759345-762348_DIR+ /molecule=16s_rRNA /score=645.3,83816,2172,2159,2158,183925,28890,634498,rRNA_gi|288559258|ref|NC_013790.1|_759345-762348_DIR+,cluster_0.99_35,35
509154128,rRNA_gi|509154128|ref|NC_021355.1|_474905-477902_DIR+ /molecule=16s_rRNA /score=588.9,224719,2172,2159,2158,183925,28890,224719,rRNA_gi|509154128|ref|NC_021355.1|_474905-477902_DIR+,cluster_0.99_36,36
150400439,rRNA_gi|150400439|ref|NC_009635.1|_1194638-1197609_DIR- /molecule=16s_rRNA /score=677.1,42879,2184,2183,2182,183939,28890,419665,rRNA_gi|150400439|ref|NC_009635.1|_1194638-1197609_DIR-,cluster_0.99_37,37
150400439,rRNA_gi|150400439|ref|NC_009635.1|_1230173-1231636_DIR+ /molecule=16s_rRNA /score=693.0,42879,2184,2183,2182,183939,28890,419665,rRNA_gi|150400439|ref|NC_009635.1|_1230173-1231636_DIR+,cluster_0.99_37,37
239916571,rRNA_gi|239916571|ref|NC_012803.1|_1563113-1566028_DIR- /molecule=16s_rRNA /score=1835.8,1270,1269,1268,85006,1760,201174,465515,rRNA_gi|239916571|ref|NC_012803.1|_1563113-1566028_DIR-,cluster_0.99_38,38
518651360,rRNA_gi|518651360|ref|NC_021592.1|_724601-727515_DIR+ /molecule=16s_rRNA /score=321.5,97393,74968,90142,2301,183967,28890,333146,rRNA_gi|518651360|ref|NC_021592.1|_724601-727515_DIR+,cluster_0.99_39,39
479136967,rRNA_gi|479136967|ref|NC_021009.1|_505857-508732_DIR- /molecule=16s_rRNA /score=648.8,NA,NA,NA,NA,NA,NA,NA,rRNA_gi|479136967|ref|NC_021009.1|_505857-508732_DIR-,cluster_0.99_40,40
150398760,rRNA_gi|150398760|ref|NC_009634.1|_1041676-1044532_DIR- /molecule=16s_rRNA /score=632.1,2187,2184,2183,2182,183939,28890,406327,rRNA_gi|150398760|ref|NC_009634.1|_1041676-1044532_DIR-,cluster_0.99_41,41
227831830,rRNA_gi|227831830|ref|NC_012590.1|_1486191-1489023_DIR- /molecule=16s_rRNA /score=1601.3,169292,1716,1653,85007,1760,201174,548476,rRNA_gi|227831830|ref|NC_012590.1|_1486191-1489023_DIR-,cluster_0.99_42,42
320449106,rRNA_gi|320449106|ref|NC_014974.1|_592399-595224_DIR+ /molecule=16s_rRNA /score=1315.8,37636,270,188786,68933,188787,1297,743525,rRNA_gi|320449106|ref|NC_014974.1|_592399-595224_DIR+,cluster_0.99_43,43
336324561,rRNA_gi|336324561|ref|NC_015673.1|_115758-118576_DIR- /molecule=16s_rRNA /score=1876.3,258224,1716,1653,85007,1760,201174,662755,rRNA_gi|336324561|ref|NC_015673.1|_115758-118576_DIR-,cluster_0.99_44,44
336121001,rRNA_gi|336121001|ref|NC_015636.1|_761282-764035_DIR+ /molecule=16s_rRNA /score=664.6,155863,155862,2183,2182,183939,28890,647113,rRNA_gi|336121001|ref|NC_015636.1|_761282-764035_DIR+,cluster_0.99_45,45
84488831,rRNA_gi|84488831|ref|NC_007681.1|_947511-950259_DIR- /molecule=16s_rRNA /score=610.6,2317,2316,2159,2158,183925,28890,339860,rRNA_gi|84488831|ref|NC_007681.1|_947511-950259_DIR-,cluster_0.99_46,46
88657561,rRNA_gi|88657561|ref|NC_007799.1|_940975-943719_DIR- /molecule=16s_rRNA /score=1596.0,945,943,942,766,28211,1224,205920,rRNA_gi|88657561|ref|NC_007799.1|_940975-943719_DIR-,cluster_0.99_47,47
58578664,rRNA_gi|58578664|ref|NC_006832.1|_306937-309677_DIR+ /molecule=16s_rRNA /score=1611.0,779,943,942,766,28211,1224,254945,rRNA_gi|58578664|ref|NC_006832.1|_306937-309677_DIR+,cluster_0.99_48,48
58616727,rRNA_gi|58616727|ref|NC_006831.1|_303757-305250_DIR+ /molecule=16s_rRNA /score=1831.7,779,943,942,766,28211,1224,302409,rRNA_gi|58616727|ref|NC_006831.1|_303757-305250_DIR+,cluster_0.99_48,48
57238731,rRNA_gi|57238731|ref|NC_005295.2|_326944-329684_DIR+ /molecule=16s_rRNA /score=1621.1,779,943,942,766,28211,1224,254945,rRNA_gi|57238731|ref|NC_005295.2|_326944-329684_DIR+,cluster_0.99_48,48
73666633,rRNA_gi|73666633|ref|NC_007354.1|_285940-288678_DIR+ /molecule=16s_rRNA /score=1594.5,944,943,942,766,28211,1224,269484,rRNA_gi|73666633|ref|NC_007354.1|_285940-288678_DIR+,cluster_0.99_49,49
479133135,rRNA_gi|479133135|ref|NC_017175.1|_4213457-4216191_DIR+ /molecule=16s_rRNA /score=1698.4,1496,1481960,186804,186802,186801,1239,699037,rRNA_gi|479133135|ref|NC_017175.1|_4213457-4216191_DIR+,cluster_0.99_50,50
84488831,rRNA_gi|84488831|ref|NC_007681.1|_407423-410139_DIR+ /molecule=16s_rRNA /score=613.3,2317,2316,2159,2158,183925,28890,339860,rRNA_gi|84488831|ref|NC_007681.1|_407423-410139_DIR+,cluster_0.99_51,51
48477072,rRNA_gi|48477072|ref|NC_005877.1|_470719-473423_DIR- /molecule=16s_rRNA /score=368.0,82076,46631,46630,2301,183967,28890,263820,rRNA_gi|48477072|ref|NC_005877.1|_470719-473423_DIR-,cluster_0.99_52,52
288559258,rRNA_gi|288559258|ref|NC_013790.1|_2041891-2044565_DIR- /molecule=16s_rRNA /score=654.6,83816,2172,2159,2158,183925,28890,634498,rRNA_gi|288559258|ref|NC_013790.1|_2041891-2044565_DIR-,cluster_0.99_53,53
479201824,rRNA_gi|479201824|ref|NC_021040.1|_348381-351031_DIR+ /molecule=16s_rRNA /score=688.2,NA,NA,NA,NA,NA,NA,NA,rRNA_gi|479201824|ref|NC_021040.1|_348381-351031_DIR+,cluster_0.99_54,54
340623184,rRNA_gi|340623184|ref|NC_015847.1|_35454-38097_DIR- /molecule=16s_rRNA /score=659.4,39152,2184,2183,2182,183939,28890,1053692,rRNA_gi|340623184|ref|NC_015847.1|_35454-38097_DIR-,cluster_0.99_55,55
340623184,rRNA_gi|340623184|ref|NC_015847.1|_3356-4817_DIR- /molecule=16s_rRNA /score=667.0,39152,2184,2183,2182,183939,28890,1053692,rRNA_gi|340623184|ref|NC_015847.1|_3356-4817_DIR-,cluster_0.99_55,55
45357563,rRNA_gi|45357563|ref|NC_005791.1|_3356-4817_DIR- /molecule=16s_rRNA /score=667.0,39152,2184,2183,2182,183939,28890,267377,rRNA_gi|45357563|ref|NC_005791.1|_3356-4817_DIR-,cluster_0.99_55,55
159904396,rRNA_gi|159904396|ref|NC_009975.1|_891447-892908_DIR+ /molecule=16s_rRNA /score=667.2,39152,2184,2183,2182,183939,28890,444158,rRNA_gi|159904396|ref|NC_009975.1|_891447-892908_DIR+,cluster_0.99_55,55
159904396,rRNA_gi|159904396|ref|NC_009975.1|_896488-897949_DIR+ /molecule=16s_rRNA /score=667.2,39152,2184,2183,2182,183939,28890,444158,rRNA_gi|159904396|ref|NC_009975.1|_896488-897949_DIR+,cluster_0.99_55,55
159904396,rRNA_gi|159904396|ref|NC_009975.1|_859137-860598_DIR+ /molecule=16s_rRNA /score=667.2,39152,2184,2183,2182,183939,28890,444158,rRNA_gi|159904396|ref|NC_009975.1|_859137-860598_DIR+,cluster_0.99_55,55
134045046,rRNA_gi|134045046|ref|NC_009135.1|_1594066-1595527_DIR+ /molecule=16s_rRNA /score=667.2,39152,2184,2183,2182,183939,28890,402880,rRNA_gi|134045046|ref|NC_009135.1|_1594066-1595527_DIR+,cluster_0.99_55,55
134045046,rRNA_gi|134045046|ref|NC_009135.1|_1628713-1630174_DIR+ /molecule=16s_rRNA /score=667.2,39152,2184,2183,2182,183939,28890,402880,rRNA_gi|134045046|ref|NC_009135.1|_1628713-1630174_DIR+,cluster_0.99_55,55
134045046,rRNA_gi|134045046|ref|NC_009135.1|_1633756-1635217_DIR+ /molecule=16s_rRNA /score=667.2,39152,2184,2183,2182,183939,28890,402880,rRNA_gi|134045046|ref|NC_009135.1|_1633756-1635217_DIR+,cluster_0.99_55,55
150401930,rRNA_gi|150401930|ref|NC_009637.1|_964041-965502_DIR- /molecule=16s_rRNA /score=666.9,39152,2184,2183,2182,183939,28890,426368,rRNA_gi|150401930|ref|NC_009637.1|_964041-965502_DIR-,cluster_0.99_55,55
150401930,rRNA_gi|150401930|ref|NC_009637.1|_996348-997809_DIR- /molecule=16s_rRNA /score=666.9,39152,2184,2183,2182,183939,28890,426368,rRNA_gi|150401930|ref|NC_009637.1|_996348-997809_DIR-,cluster_0.99_55,55
150401930,rRNA_gi|150401930|ref|NC_009637.1|_959001-960462_DIR- /molecule=16s_rRNA /score=666.9,39152,2184,2183,2182,183939,28890,426368,rRNA_gi|150401930|ref|NC_009637.1|_959001-960462_DIR-,cluster_0.99_55,55
45357563,rRNA_gi|45357563|ref|NC_005791.1|_8397-9858_DIR- /molecule=16s_rRNA /score=667.0,39152,2184,2183,2182,183939,28890,267377,rRNA_gi|45357563|ref|NC_005791.1|_8397-9858_DIR-,cluster_0.99_55,55
45357563,rRNA_gi|45357563|ref|NC_005791.1|_40488-43131_DIR- /molecule=16s_rRNA /score=660.7,39152,2184,2183,2182,183939,28890,267377,rRNA_gi|45357563|ref|NC_005791.1|_40488-43131_DIR-,cluster_0.99_56,56
479336697,rRNA_gi|479336697|ref|NC_021047.1|_235702-238322_DIR+ /molecule=16s_rRNA /score=685.2,NA,NA,NA,NA,NA,NA,NA,rRNA_gi|479336697|ref|NC_021047.1|_235702-238322_DIR+,cluster_0.99_57,57
383749063,rRNA_gi|383749063|ref|NC_017063.1|_1203509-1206087_DIR- /molecule=16s_rRNA /score=1670.5,210,209,72293,213849,29547,1224,1055527,rRNA_gi|383749063|ref|NC_017063.1|_1203509-1206087_DIR-,cluster_0.99_58,58
385227773,rRNA_gi|385227773|ref|NC_017378.1|_1415114-1416606_DIR- /molecule=16s_rRNA /score=1836.0,210,209,72293,213849,29547,1224,1055528,rRNA_gi|385227773|ref|NC_017378.1|_1415114-1416606_DIR-,cluster_0.99_58,58
385227773,rRNA_gi|385227773|ref|NC_017378.1|_1136454-1137946_DIR- /molecule=16s_rRNA /score=1836.0,210,209,72293,213849,29547,1224,1055528,rRNA_gi|385227773|ref|NC_017378.1|_1136454-1137946_DIR-,cluster_0.99_58,58
384895178,rRNA_gi|384895178|ref|NC_017360.1|_1341100-1342592_DIR- /molecule=16s_rRNA /score=1825.8,210,209,72293,213849,29547,1224,585535,rRNA_gi|384895178|ref|NC_017360.1|_1341100-1342592_DIR-,cluster_0.99_58,58
385248496,rRNA_gi|385248496|ref|NC_017367.1|_1176266-1177758_DIR- /molecule=16s_rRNA /score=1836.5,210,209,72293,213849,29547,1224,866346,rRNA_gi|385248496|ref|NC_017367.1|_1176266-1177758_DIR-,cluster_0.99_58,58
385248496,rRNA_gi|385248496|ref|NC_017367.1|_1432558-1434050_DIR- /molecule=16s_rRNA /score=1836.5,210,209,72293,213849,29547,1224,866346,rRNA_gi|385248496|ref|NC_017367.1|_1432558-1434050_DIR-,cluster_0.99_58,58
384892008,rRNA_gi|384892008|ref|NC_017358.1|_1457882-1459374_DIR- /molecule=16s_rRNA /score=1833.1,210,209,72293,213849,29547,1224,765964,rRNA_gi|384892008|ref|NC_017358.1|_1457882-1459374_DIR-,cluster_0.99_58,58
384892008,rRNA_gi|384892008|ref|NC_017358.1|_1187003-1188495_DIR- /molecule=16s_rRNA /score=1833.1,210,209,72293,213849,29547,1224,765964,rRNA_gi|384892008|ref|NC_017358.1|_1187003-1188495_DIR-,cluster_0.99_58,58
528816008,rRNA_gi|528816008|ref|NC_021218.2|_1525952-1527444_DIR- /molecule=16s_rRNA /score=1833.0,NA,NA,NA,NA,NA,NA,NA,rRNA_gi|528816008|ref|NC_021218.2|_1525952-1527444_DIR-,cluster_0.99_58,58
528816008,rRNA_gi|528816008|ref|NC_021218.2|_1270363-1271855_DIR- /molecule=16s_rRNA /score=1833.0,NA,NA,NA,NA,NA,NA,NA,rRNA_gi|528816008|ref|NC_021218.2|_1270363-1271855_DIR-,cluster_0.99_58,58
387907368,rRNA_gi|387907368|ref|NC_017926.1|_1460510-1462002_DIR- /molecule=16s_rRNA /score=1834.6,210,209,72293,213849,29547,1224,1127122,rRNA_gi|387907368|ref|NC_017926.1|_1460510-1462002_DIR-,cluster_0.99_58,58
387907368,rRNA_gi|387907368|ref|NC_017926.1|_1207439-1208931_DIR- /molecule=16s_rRNA /score=1834.6,210,209,72293,213849,29547,1224,1127122,rRNA_gi|387907368|ref|NC_017926.1|_1207439-1208931_DIR-,cluster_0.99_58,58
425790179,rRNA_gi|425790179|ref|NC_019563.1|_1122482-1123974_DIR- /molecule=16s_rRNA /score=1836.0,210,209,72293,213849,29547,1224,1055532,rRNA_gi|425790179|ref|NC_019563.1|_1122482-1123974_DIR-,cluster_0.99_58,58
425790179,rRNA_gi|425790179|ref|NC_019563.1|_202184-203676_DIR+ /molecule=16s_rRNA /score=1836.0,210,209,72293,213849,29547,1224,1055532,rRNA_gi|425790179|ref|NC_019563.1|_202184-203676_DIR+,cluster_0.99_58,58
308182188,rRNA_gi|308182188|ref|NC_014555.1|_1131517-1133009_DIR- /molecule=16s_rRNA /score=1833.2,210,209,72293,213849,29547,1224,765963,rRNA_gi|308182188|ref|NC_014555.1|_1131517-1133009_DIR-,cluster_0.99_58,58
308182188,rRNA_gi|308182188|ref|NC_014555.1|_1401385-1402877_DIR- /molecule=16s_rRNA /score=1833.2,210,209,72293,213849,29547,1224,765963,rRNA_gi|308182188|ref|NC_014555.1|_1401385-1402877_DIR-,cluster_0.99_58,58
