cluster	threshold	id	seqs	gi	count	new_names	reduced	dedup	rep_name
cluster_1.00_67	1.00	67	rRNA_gi|479166807|ref|NC_021018.1|_3070260-3072809_DIR-	479166807	1	ID.2046	1	0	ID.2046
cluster_1.00_68	1.00	68	rRNA_gi|148642060|ref|NC_009515.1|_333486-335971_DIR-	148642060	1	ID.3197	1	0	ID.3197
cluster_1.00_69	1.00	69	rRNA_gi|565990029|ref|NC_023037.1|_2504629-2507097_DIR+	565990029	1	ID.1180	1	0	ID.1180
cluster_1.00_70	1.00	70	rRNA_gi|385218266|ref|NC_017371.1|_1199752-1202203_DIR-	385218266	1	ID.578	0	0	ID.578
cluster_1.00_71	1.00	71	rRNA_gi|385218266|ref|NC_017371.1|_1525672-1528121_DIR-	385218266	1	ID.3867	0	0	ID.3867
cluster_1.00_72	1.00	72	rRNA_gi|383749063|ref|NC_017063.1|_1484562-1486967_DIR-	383749063	1	ID.1925	0	0	ID.1925
cluster_1.00_73	1.00	73	rRNA_gi|386755084|ref|NC_017742.1|_1543328-1545621_DIR+	386755084	1	ID.1306	1	0	ID.1306
cluster_1.00_74	1.00	74	rRNA_gi|386755084|ref|NC_017742.1|_1197078-1199369_DIR-	386755084	1	ID.3507	1	0	ID.3507
cluster_1.00_75	1.00	75	rRNA_gi|148642060|ref|NC_009515.1|_520019-522259_DIR-	148642060	1	ID.4763	1	0	ID.4763
cluster_1.00_76	1.00	76	rRNA_gi|384157612|ref|NC_017188.1|_9773-11989_DIR+	384157612	1	ID.807	0	0	ID.807
cluster_1.00_77	1.00	77	rRNA_gi|384166624|ref|NC_017191.1|_9773-11981_DIR+	384166624	1	ID.2864	1	0	ID.2864
cluster_1.00_78	1.00	78	rRNA_gi|18311643|ref|NC_003364.1|_1089642-1091849_DIR+	18311643	1	ID.819	1	0	ID.819
cluster_1.00_79	1.00	79	rRNA_gi|145590267|ref|NC_009376.1|_623326-625532_DIR-	145590267	1	ID.4042	1	0	ID.4042
cluster_1.00_80	1.00	80	rRNA_gi|118430835|ref|NC_000854.2|_1218715-1220911_DIR-	118430835	1	ID.4202	0	0	ID.4202
cluster_1.00_81	1.00	81	rRNA_gi|171184485|ref|NC_010525.1|_690421-692612_DIR+	171184485	1	ID.4014	0	0	ID.4014
cluster_1.00_82	1.00	82	rRNA_gi|379002962|ref|NC_016885.1|_1430992-1433181_DIR+	379002962	1	ID.1916	0	0	ID.1916
cluster_1.00_83	1.00	83	rRNA_gi|532530467|ref|NC_022130.1|_1380909-1383088_DIR-	532530467	2	ID.3667	0	0	ID.4353
cluster_1.00_83	1.00	83	rRNA_gi|532530467|ref|NC_022130.1|_1152880-1154370_DIR-	532530467	2	ID.4353	0	0	ID.4353
cluster_1.00_84	1.00	84	rRNA_gi|397692770|ref|NC_018220.1|_5677913-5680043_DIR+	397692770	1	ID.569	1	0	ID.569
cluster_1.00_85	1.00	85	rRNA_gi|479170689|ref|NC_021020.1|_589522-591540_DIR-	479170689	1	ID.2724	1	0	ID.2724
cluster_1.00_86	1.00	86	rRNA_gi|479133135|ref|NC_017175.1|_4189704-4191592_DIR-	479133135	1	ID.2237	1	0	ID.2237
cluster_1.00_87	1.00	87	rRNA_gi|479133135|ref|NC_017175.1|_4190329-4192217_DIR+	479133135	1	ID.1795	1	0	ID.1795
cluster_1.00_88	1.00	88	rRNA_gi|565990029|ref|NC_023037.1|_2694506-2696381_DIR+	565990029	1	ID.1274	1	0	ID.1274
cluster_1.00_89	1.00	89	rRNA_gi|126207488|ref|NC_009053.1|_1761534-1763352_DIR-	126207488	4	ID.1821	0	0	ID.1821
cluster_1.00_89	1.00	89	rRNA_gi|126207488|ref|NC_009053.1|_1761534-1763352_DIR-	126207488	4	ID.1821	0	0	ID.1821
cluster_1.00_89	1.00	89	rRNA_gi|126207488|ref|NC_009053.1|_2065397-2067215_DIR+	126207488	4	NA	NA	1	ID.1821
cluster_1.00_89	1.00	89	rRNA_gi|126207488|ref|NC_009053.1|_2065397-2067215_DIR+	126207488	4	NA	NA	1	ID.1821
cluster_1.00_90	1.00	90	rRNA_gi|126207488|ref|NC_009053.1|_278448-280265_DIR+	126207488	2	ID.4289	0	0	ID.4289
cluster_1.00_90	1.00	90	rRNA_gi|126207488|ref|NC_009053.1|_278448-280265_DIR+	126207488	2	ID.4289	0	0	ID.4289
cluster_1.00_91	1.00	91	rRNA_gi|320114857|ref|NC_014964.1|_2252893-2254661_DIR-	320114857	1	ID.307	1	0	ID.307
cluster_1.00_91	1.00	91	rRNA_gi|167036431|ref|NC_010321.1|_2265749-2267517_DIR-	167036431	1	NA	NA	1	ID.307
cluster_1.00_92	1.00	92	rRNA_gi|558678294|ref|NC_022873.1|_5265540-5267281_DIR-	558678294	1	ID.139	0	0	ID.139
cluster_1.00_93	1.00	93	rRNA_gi|333977506|ref|NC_015573.1|_9103-10834_DIR+	333977506	1	ID.1230	1	0	ID.1230
cluster_1.00_94	1.00	94	rRNA_gi|560154719|ref|NC_022912.1|_223928-225655_DIR+	560154719	1	ID.3021	1	0	ID.3021
cluster_1.00_95	1.00	95	rRNA_gi|297616214|ref|NC_014220.1|_742718-744439_DIR+	297616214	1	ID.2315	1	0	ID.2315
cluster_1.00_96	1.00	96	rRNA_gi|197333880|ref|NC_011184.1|_341283-343003_DIR+	197333880	2	ID.864	1	0	ID.864
cluster_1.00_96	1.00	96	rRNA_gi|197333880|ref|NC_011184.1|_2852526-2854246_DIR-	197333880	2	NA	NA	1	ID.864
cluster_1.00_97	1.00	97	rRNA_gi|197333880|ref|NC_011184.1|_2732717-2734437_DIR-	197333880	1	ID.1621	0	0	ID.1621
cluster_1.00_98	1.00	98	rRNA_gi|297616214|ref|NC_014220.1|_47044-48764_DIR+	297616214	1	ID.3768	0	0	ID.3768
cluster_1.00_99	1.00	99	rRNA_gi|431792069|ref|NC_019903.1|_1812554-1814274_DIR+	431792069	1	ID.2752	1	0	ID.2752
cluster_1.00_100	1.00	100	rRNA_gi|431792069|ref|NC_019903.1|_2245532-2247252_DIR-	431792069	1	ID.280	1	0	ID.280
cluster_1.00_101	1.00	101	rRNA_gi|333977506|ref|NC_015573.1|_701879-703580_DIR+	333977506	1	ID.1383	1	0	ID.1383
cluster_1.00_102	1.00	102	rRNA_gi|549454644|ref|NC_022521.1|_1165115-1166815_DIR-	549454644	1	ID.3756	1	0	ID.3756
cluster_1.00_103	1.00	103	rRNA_gi|154173617|ref|NC_009715.1|_1788526-1790226_DIR-	154173617	3	NA	NA	1	ID.4826
cluster_1.00_103	1.00	103	rRNA_gi|154173617|ref|NC_009715.1|_1347091-1348791_DIR-	154173617	3	NA	NA	1	ID.4826
cluster_1.00_103	1.00	103	rRNA_gi|154173617|ref|NC_009715.1|_828710-830410_DIR+	154173617	3	ID.4826	1	0	ID.4826
cluster_1.00_104	1.00	104	rRNA_gi|333977506|ref|NC_015573.1|_2112537-2114233_DIR-	333977506	1	ID.2019	1	0	ID.2019
cluster_1.00_105	1.00	105	rRNA_gi|407930685|ref|NC_018706.1|_214354-216047_DIR-	407930685	1	ID.1464	0	0	ID.1464
cluster_1.00_106	1.00	106	rRNA_gi|480527847|ref|NC_019674.1|_995646-997337_DIR+	480527847	1	ID.1662	0	0	ID.1662
cluster_1.00_107	1.00	107	rRNA_gi|488773889|ref|NC_021184.1|_4139493-4141180_DIR-	488773889	1	ID.4309	0	0	ID.4309
cluster_1.00_108	1.00	108	rRNA_gi|169830219|ref|NC_010424.1|_142718-144404_DIR+	169830219	2	ID.729	1	0	ID.729
cluster_1.00_108	1.00	108	rRNA_gi|169830219|ref|NC_010424.1|_1442926-1444612_DIR-	169830219	2	NA	NA	1	ID.729
cluster_1.00_109	1.00	109	rRNA_gi|114565576|ref|NC_008346.1|_417882-419565_DIR+	114565576	1	ID.427	1	0	ID.427
cluster_1.00_110	1.00	110	rRNA_gi|89892746|ref|NC_007907.1|_2844371-2846044_DIR-	89892746	1	ID.4212	1	0	ID.4212
cluster_1.00_111	1.00	111	rRNA_gi|159040592|ref|NC_009954.1|_129153-130826_DIR-	159040592	1	ID.3883	1	0	ID.3883
cluster_1.00_112	1.00	112	rRNA_gi|219666071|ref|NC_011830.1|_3873538-3875208_DIR-	219666071	1	ID.3808	0	0	ID.3808
cluster_1.00_113	1.00	113	rRNA_gi|89892746|ref|NC_007907.1|_1738458-1740128_DIR+	89892746	1	ID.2540	1	0	ID.2540
cluster_1.00_114	1.00	114	rRNA_gi|392391692|ref|NC_018017.1|_220012-221681_DIR+	392391692	1	ID.1871	0	0	ID.1871
cluster_1.00_115	1.00	115	rRNA_gi|392391692|ref|NC_018017.1|_3061360-3063029_DIR-	392391692	2	NA	NA	1	ID.778
cluster_1.00_115	1.00	115	rRNA_gi|392391692|ref|NC_018017.1|_2118113-2119782_DIR+	392391692	2	ID.778	1	0	ID.778
cluster_1.00_116	1.00	116	rRNA_gi|392391692|ref|NC_018017.1|_2636552-2638220_DIR-	392391692	1	ID.4850	1	0	ID.4850
cluster_1.00_117	1.00	117	rRNA_gi|479181986|ref|NC_021024.1|_3837-5503_DIR-	479181986	1	ID.4473	1	0	ID.4473
cluster_1.00_118	1.00	118	rRNA_gi|219666071|ref|NC_011830.1|_3389423-3391083_DIR-	219666071	1	ID.1239	1	0	ID.1239
cluster_1.00_119	1.00	119	rRNA_gi|431792069|ref|NC_019903.1|_227785-229441_DIR+	431792069	1	ID.2820	1	0	ID.2820
cluster_1.00_120	1.00	120	rRNA_gi|89892746|ref|NC_007907.1|_237002-238653_DIR+	89892746	1	ID.4384	0	0	ID.4384
cluster_1.00_121	1.00	121	rRNA_gi|89892746|ref|NC_007907.1|_340557-342208_DIR+	89892746	1	ID.4565	0	0	ID.4565
cluster_1.00_122	1.00	122	rRNA_gi|89892746|ref|NC_007907.1|_328929-330580_DIR+	89892746	1	ID.4248	1	0	ID.4248
cluster_1.00_123	1.00	123	rRNA_gi|431792069|ref|NC_019903.1|_96690-98341_DIR+	431792069	1	ID.1233	0	0	ID.1233
cluster_1.00_124	1.00	124	rRNA_gi|431792069|ref|NC_019903.1|_2593393-2595044_DIR-	431792069	1	ID.5050	0	0	ID.5050
cluster_1.00_125	1.00	125	rRNA_gi|431792069|ref|NC_019903.1|_197046-198697_DIR+	431792069	1	ID.961	1	0	ID.961
cluster_1.00_126	1.00	126	rRNA_gi|409101469|ref|NC_018867.1|_1989782-1991430_DIR-	409101469	1	ID.2252	0	0	ID.2252
cluster_1.00_127	1.00	127	rRNA_gi|409101469|ref|NC_018867.1|_368310-369958_DIR+	409101469	1	NA	NA	1	ID.1835
cluster_1.00_127	1.00	127	rRNA_gi|409101468|ref|NC_018866.1|_1960001-1961649_DIR-	409101468	2	NA	NA	1	ID.1835
cluster_1.00_127	1.00	127	rRNA_gi|409101468|ref|NC_018866.1|_302816-304464_DIR+	409101468	2	ID.1835	1	0	ID.1835
cluster_1.00_128	1.00	128	rRNA_gi|392423459|ref|NC_018068.1|_2953029-2954675_DIR-	392423459	1	ID.1766	1	0	ID.1766
cluster_1.00_129	1.00	129	rRNA_gi|89892746|ref|NC_007907.1|_2315008-2316653_DIR-	89892746	1	ID.4521	1	0	ID.4521
cluster_1.00_130	1.00	130	rRNA_gi|327398173|ref|NC_015318.1|_1376416-1378061_DIR-	327398173	2	NA	NA	1	ID.1706
cluster_1.00_130	1.00	130	rRNA_gi|327398173|ref|NC_015318.1|_256607-258252_DIR+	327398173	2	ID.1706	1	0	ID.1706
cluster_1.00_131	1.00	131	rRNA_gi|404477334|ref|NC_018608.1|_540419-542060_DIR+	404477334	1	ID.766	0	0	ID.766
cluster_1.00_132	1.00	132	rRNA_gi|383752828|ref|NC_017068.1|_2870859-2872500_DIR-	383752828	1	ID.3626	0	0	ID.3626
cluster_1.00_133	1.00	133	rRNA_gi|383752828|ref|NC_017068.1|_1057068-1058709_DIR+	383752828	1	ID.711	1	0	ID.711
cluster_1.00_134	1.00	134	rRNA_gi|383752828|ref|NC_017068.1|_2416339-2417980_DIR-	383752828	1	ID.4144	1	0	ID.4144
cluster_1.00_135	1.00	135	rRNA_gi|220927459|ref|NC_011898.1|_887840-889480_DIR+	220927459	1	ID.2699	1	0	ID.2699
cluster_1.00_136	1.00	136	rRNA_gi|220927459|ref|NC_011898.1|_453791-455431_DIR+	220927459	1	ID.1531	1	0	ID.1531
cluster_1.00_137	1.00	137	rRNA_gi|220927459|ref|NC_011898.1|_654800-656440_DIR+	220927459	1	ID.2689	0	0	ID.2689
cluster_1.00_138	1.00	138	rRNA_gi|220927459|ref|NC_011898.1|_605119-606759_DIR+	220927459	1	ID.1022	1	0	ID.1022
cluster_1.00_139	1.00	139	rRNA_gi|220927459|ref|NC_011898.1|_2914118-2915758_DIR-	220927459	1	ID.4169	0	0	ID.4169
cluster_1.00_140	1.00	140	rRNA_gi|220927459|ref|NC_011898.1|_4055819-4057459_DIR-	220927459	1	ID.1858	1	0	ID.1858
cluster_1.00_141	1.00	141	rRNA_gi|220927459|ref|NC_011898.1|_3983643-3985283_DIR-	220927459	1	ID.396	1	0	ID.396
cluster_1.00_142	1.00	142	rRNA_gi|376259380|ref|NC_016791.1|_2154159-2155799_DIR+	376259380	1	ID.1227	1	0	ID.1227
cluster_1.00_143	1.00	143	rRNA_gi|376259380|ref|NC_016791.1|_1861610-1863250_DIR+	376259380	1	ID.3623	1	0	ID.3623
cluster_1.00_144	1.00	144	rRNA_gi|220927459|ref|NC_011898.1|_1851052-1852690_DIR+	220927459	1	ID.1011	1	0	ID.1011
cluster_1.00_145	1.00	145	rRNA_gi|374294493|ref|NC_016627.1|_3827614-3829247_DIR-	374294493	5	NA	NA	1	ID.714
cluster_1.00_145	1.00	145	rRNA_gi|374294493|ref|NC_016627.1|_3890837-3892470_DIR-	374294493	5	NA	NA	1	ID.714
cluster_1.00_145	1.00	145	rRNA_gi|374294493|ref|NC_016627.1|_4508507-4510140_DIR-	374294493	5	NA	NA	1	ID.714
cluster_1.00_145	1.00	145	rRNA_gi|374294493|ref|NC_016627.1|_4516410-4518043_DIR-	374294493	5	NA	NA	1	ID.714
cluster_1.00_145	1.00	145	rRNA_gi|374294493|ref|NC_016627.1|_2605345-2606978_DIR-	374294493	5	ID.714	1	0	ID.714
cluster_1.00_146	1.00	146	rRNA_gi|374294493|ref|NC_016627.1|_4884681-4886314_DIR-	374294493	1	ID.3892	0	0	ID.3892
cluster_1.00_147	1.00	147	rRNA_gi|114565576|ref|NC_008346.1|_1053264-1054897_DIR+	114565576	1	ID.3455	1	0	ID.3455
cluster_1.00_148	1.00	148	rRNA_gi|114565576|ref|NC_008346.1|_43641-45262_DIR+	114565576	1	ID.4047	1	0	ID.4047
cluster_1.00_149	1.00	149	rRNA_gi|310657316|ref|NC_014614.1|_1096822-1098441_DIR+	310657316	1	ID.5062	1	0	ID.5062
cluster_1.00_150	1.00	150	rRNA_gi|310657316|ref|NC_014614.1|_569873-571491_DIR+	310657316	1	ID.3370	1	0	ID.3370
cluster_1.00_151	1.00	151	rRNA_gi|310657316|ref|NC_014614.1|_2371326-2372944_DIR-	310657316	1	ID.1059	1	0	ID.1059
cluster_1.00_152	1.00	152	rRNA_gi|20806542|ref|NC_003869.1|_1488419-1490033_DIR-	20806542	1	ID.4964	1	0	ID.4964
cluster_1.00_153	1.00	153	rRNA_gi|365823447|ref|NC_014909.2|_629612-631222_DIR-	365823447	1	ID.3091	1	0	ID.3091
cluster_1.00_154	1.00	154	rRNA_gi|134297881|ref|NC_009253.1|_1345371-1346977_DIR+	134297881	1	ID.4457	1	0	ID.4457
cluster_1.00_155	1.00	155	rRNA_gi|134297881|ref|NC_009253.1|_1332694-1334300_DIR+	134297881	1	ID.2523	1	0	ID.2523
cluster_1.00_156	1.00	156	rRNA_gi|134297881|ref|NC_009253.1|_3195024-3196630_DIR-	134297881	1	ID.4540	0	0	ID.4540
